#, Source, Destination, Nb sommets traités classique, Nb sommets traités bidirectionnel
1,7611,5959,5892,5070
2,5024,9036,3261,2684
3,1569,5469,7599,6225
4,3363,7911,198,120
5,6946,4726,3127,2163
6,9083,3706,6391,5558
7,8743,8774,7972,5649
8,190,2756,1019,698
9,245,2721,7828,3992
10,8293,1964,8973,6400
11,747,7460,2698,1661
12,5319,3339,2533,1581
13,5336,8974,1140,916
14,9332,7544,5509,4455
15,8489,2014,8997,6737
16,1287,7167,692,351
17,9440,7626,6000,4120
18,1887,7245,4408,3682
19,1904,9033,3135,2334
20,7511,5946,7796,3006
21,3013,2078,127,59
22,4432,8739,1919,1656
23,2129,4673,280,165
24,3136,6818,6340,3073
25,4896,2427,2653,2180
26,8660,4125,9198,6313
27,5309,1503,6781,5683
28,7857,5384,5874,4618
29,1517,8176,9725,7554
30,1208,7160,7905,4945
31,5097,6722,6968,5026
32,888,806,7614,5962
33,9370,609,828,425
34,9038,6027,6155,4377
35,8173,3960,2844,1404
36,4199,6990,8451,6709
37,742,2895,7845,6233
38,8358,6407,546,248
39,5568,9476,7131,4906
40,224,351,6496,3493
41,6386,3108,3482,1624
42,132,1863,5167,3942
43,4446,6614,988,540
44,1129,3409,5514,4544
45,3587,1429,8764,7155
46,6080,7022,253,187
47,3090,9736,6522,5750
48,4777,6549,4535,3130
49,1901,6016,6367,4864
50,193,3821,1850,1086
51,9643,7677,4634,2304
52,8632,567,5128,3769
53,9097,5517,777,360
54,8481,8619,7600,5836
55,90,7970,3103,1531
56,8210,3566,9118,3961
57,2927,4559,2010,1826
58,2811,2317,6055,4158
59,3842,79,8738,6903
60,7524,1560,531,293
61,6876,3618,9875,7520
62,6863,9566,5990,2418
63,9415,5604,143,87
64,5613,9360,3781,1649
65,7037,9420,983,802
66,2717,3061,2821,1510
67,8319,3278,5784,4365
68,2062,3466,5511,4656
69,4994,3277,8785,6774
70,2149,4707,2357,1463
71,5059,8945,5973,3128
72,410,3811,1383,724
73,8139,7328,6623,4133
74,3181,1332,6870,4387
75,8078,5453,6245,3611
76,310,2115,1983,995
77,1406,2762,697,347
78,1770,4571,4016,3472
79,4060,970,2503,1207
80,9753,1788,4741,2814
81,1822,3800,6492,4325
82,8565,9560,6219,4317
83,6508,2462,1987,1393
84,557,9066,4534,3540
85,2805,7363,7982,6645
86,151,4579,4618,4018
87,846,5731,5336,2638
88,5228,178,3839,2060
89,1002,7868,1393,905
90,7500,7695,2818,1935
91,4598,4899,7705,3637
92,2803,5877,9490,6078
93,8411,1025,6994,4545
94,3604,2234,4943,3453
95,3270,6798,3495,2237
96,3905,4572,6052,5076
97,4164,4312,2356,1620
98,3821,1593,22,12
99,8055,4544,9634,4999
100,2600,2443,5646,4899
101,6070,545,9370,7143
102,5162,1822,5676,2809
103,9680,1726,9577,6572
104,9099,3743,8988,5305
105,4417,198,950,539
106,7278,6243,1257,626
107,3069,1207,605,296
108,7150,6562,6934,5659
109,7289,6684,4202,3158
110,113,1694,7553,3765
111,7129,6484,151,92
112,9689,2980,1969,715
113,6052,3185,3662,2706
114,4617,8893,6985,3679
115,7635,7817,9772,7418
116,997,3073,554,361
117,537,9261,6344,2351
118,7698,2105,6612,3894
119,2845,6612,744,487
120,9068,927,7959,2859
121,2306,9427,7909,5321
122,2166,2724,649,339
123,8311,235,1171,1018
124,220,1806,1465,777
125,186,5359,5179,3345
126,1813,236,2561,1564
127,9944,7216,4666,3464
128,6165,9880,1950,1036
129,5536,7383,4348,3218
130,8814,5128,8289,5928
131,1957,8606,7658,3306
132,6310,9664,4566,3175
133,9538,5739,8560,5493
134,8563,5047,1617,781
135,7815,5674,8658,5711
136,8835,8964,8983,6198
137,4514,6374,442,254
138,6697,2118,1025,657
139,6041,4932,1957,1019
140,5585,8157,6334,5469
141,8084,8557,4978,4130
142,997,6872,4969,4385
143,5128,9237,8618,6890
144,2024,892,4767,2571
145,1757,9100,5544,4569
146,6895,285,8634,6648
147,4433,1041,4660,3104
148,2848,4348,4139,3056
149,4213,238,700,294
150,7042,5037,6140,4356
151,1749,4276,1436,993
152,6324,2612,2614,1457
153,245,4868,1004,687
154,2681,3180,5420,4728
155,5703,3430,9131,6789
156,1537,932,2650,2352
157,9801,2298,9132,7041
158,9028,9558,2813,1598
159,8156,5529,2370,2037
160,7639,8980,5514,3719
161,3199,1862,5553,4702
162,8624,3713,4199,1914
163,6345,7239,7535,5295
164,6998,8186,1915,1706
165,2422,6986,398,191
166,994,7407,6881,5204
167,441,2982,3322,2022
168,946,3906,2631,1530
169,3759,5551,7471,5793
170,1804,7387,984,711
171,9764,1413,1952,1261
172,8976,2517,5913,3976
173,1679,3994,3671,1659
174,6582,3017,8730,6241
175,5096,4926,2234,1214
